A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
D,K,I,unchanged,growth,one,no,no,small,<=5,2,0,0
B,X,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,I,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,1,0
D,K,I,reduced,growth,nothing-as-big,no,no,small,<=5,4,0,0
B,X,O,reduced,decay,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
C,S,O,unchanged,growth,more-activity,yes,no,small,<=5,0,1,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,K,I,unchanged,growth,nothing-as-big,no,no,small,<=5,3,1,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
C,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,K,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
D,A,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
C,S,O,unchanged,no-growth,one,yes,no,small,<=5,0,0,0
D,R,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,1,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,S,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,1,0,0
D,A,I,unchanged,no-growth,more-activity,no,no,small,<=5,0,0,0
D,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,1,0,0
D,A,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
C,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,1,0,0
H,A,X,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,decay,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,decay,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,1,0,0
D,S,I,unchanged,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,C,unchanged,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
D,R,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,A,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
E,A,I,reduced,growth,nothing-as-big,no,no,small,<=5,1,0,0
D,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,decay,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,O,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
D,A,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
C,R,O,unchanged,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,S,I,reduced,growth,nothing-as-big,yes,no,small,<=5,1,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
E,A,C,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
D,A,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,unchanged,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
C,S,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,H,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,S,I,reduced,growth,nothing-as-big,no,no,small,<=5,1,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,1,0
H,R,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
D,A,O,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
D,S,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
D,R,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,A,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
E,A,I,unchanged,growth,nothing-as-big,no,no,small,<=5,2,0,0
D,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,1,0
H,H,X,reduced,growth,nothing-as-big,no,yes,small,<=5,0,0,0
D,A,I,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,S,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
D,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
E,A,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,3,0,0
D,A,I,unchanged,growth,more-activity,yes,no,small,<=5,1,0,0
B,X,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,A,X,reduced,growth,nothing-as-big,no,yes,small,<=5,0,0,0
D,A,I,reduced,growth,nothing-as-big,no,no,small,<=5,3,0,0
C,R,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,S,O,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
C,R,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
C,R,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
E,A,O,unchanged,no-growth,nothing-as-big,no,no,small,<=5,4,0,0
E,A,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,A,X,reduced,growth,nothing-as-big,no,yes,small,<=5,0,0,0
D,A,I,unchanged,growth,nothing-as-big,no,no,small,<=5,0,1,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,S,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
C,A,O,reduced,decay,nothing-as-big,yes,no,small,<=5,0,0,0
E,A,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
E,A,C,unchanged,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,A,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
D,A,C,unchanged,no-growth,more-activity,no,no,small,<=5,0,0,0
E,S,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,1,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
E,A,O,unchanged,growth,nothing-as-big,no,no,small,<=5,0,0,0
E,A,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
C,A,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
D,A,C,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
E,S,I,reduced,growth,nothing-as-big,no,no,small,<=5,5,1,0
H,R,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
D,R,I,reduced,growth,nothing-as-big,yes,no,small,<=5,1,0,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,no,yes,small,<=5,0,0,0
D,S,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
H,A,X,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
F,A,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,4,0,0
C,A,O,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
C,A,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
E,A,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,1,0,0
D,R,I,unchanged,growth,nothing-as-big,no,no,small,<=5,1,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,S,O,reduced,decay,more-activity,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
F,A,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,3,0,0
C,R,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
E,A,I,unchanged,growth,more-activity,no,no,small,<=5,1,0,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
C,A,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
D,R,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
F,A,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
C,R,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,no,no,small,<=5,1,0,0
E,A,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,unchanged,no-growth,nothing-as-big,yes,yes,small,<=5,1,0,0
C,A,I,unchanged,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
D,R,I,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,yes,small,<=5,0,0,0
F,A,I,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
H,R,X,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,unchanged,growth,nothing-as-big,no,no,small,<=5,0,0,0
E,S,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,3,0,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
D,R,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
D,A,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,R,X,reduced,decay,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
E,S,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
C,S,O,unchanged,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,O,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
D,A,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,S,O,unchanged,growth,nothing-as-big,no,no,small,<=5,0,0,0
D,H,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
D,A,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
C,S,O,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
C,S,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
D,A,O,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,growth,nothing-as-big,no,yes,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
C,S,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,decay,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,1,0,0
D,A,I,reduced,growth,nothing-as-big,no,no,small,<=5,1,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,no,yes,small,<=5,0,0,0
C,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,1,0,0
C,S,O,reduced,growth,nothing-as-big,no,no,small,<=5,2,1,0
H,S,X,reduced,growth,nothing-as-big,yes,no,small,<=5,1,0,0
C,R,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,unchanged,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
D,S,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
F,S,O,unchanged,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,I,reduced,no-growth,nothing-as-big,yes,no,small,<=5,2,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,O,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
D,A,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,2,0,0
D,S,O,unchanged,no-growth,more-activity,no,no,small,<=5,0,0,0
F,H,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,R,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
D,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,S,I,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
C,R,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
C,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,unchanged,decay,nothing-as-big,no,no,small,<=5,0,0,0
C,S,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
C,S,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,unchanged,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
C,S,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
C,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,I,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
E,A,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
D,S,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,unchanged,growth,nothing-as-big,no,no,small,<=5,0,0,0
C,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
F,S,I,reduced,growth,nothing-as-big,no,no,small,<=5,2,0,0
D,A,I,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
D,A,I,reduced,growth,nothing-as-big,yes,no,small,<=5,1,0,0
E,S,O,reduced,growth,nothing-as-big,yes,no,small,<=5,6,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
C,S,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,decay,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
F,S,I,reduced,growth,nothing-as-big,no,no,small,<=5,1,0,0
D,R,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
D,A,I,unchanged,growth,nothing-as-big,no,no,small,<=5,0,0,0
D,R,C,unchanged,growth,nothing-as-big,yes,no,small,<=5,1,0,0
H,K,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
C,R,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,A,X,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
F,S,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
D,S,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
E,H,C,unchanged,growth,nothing-as-big,no,no,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,H,O,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
F,R,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
H,S,X,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
D,A,I,reduced,growth,nothing-as-big,no,no,small,<=5,1,0,0
E,K,I,unchanged,growth,nothing-as-big,no,no,large,<=5,1,0,0
F,H,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
D,A,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
F,K,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
E,H,O,unchanged,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
B,X,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,yes,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
D,S,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
E,K,I,unchanged,no-growth,nothing-as-big,no,no,small,<=5,2,0,0
F,H,O,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
C,R,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,O,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,R,X,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
B,X,I,reduced,decay,nothing-as-big,no,no,small,<=5,0,0,0
F,K,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,4,0,0
D,H,I,unchanged,growth,nothing-as-big,no,no,small,<=5,0,0,0
C,R,O,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
H,R,X,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
F,A,I,unchanged,growth,nothing-as-big,no,no,large,<=5,1,1,0
E,H,I,reduced,growth,nothing-as-big,no,no,small,<=5,1,1,0
H,S,X,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
H,R,X,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
F,A,I,unchanged,growth,nothing-as-big,no,no,small,<=5,0,0,0
E,H,I,reduced,growth,nothing-as-big,no,no,small,<=5,3,0,0
H,S,X,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,R,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
H,S,X,reduced,growth,nothing-as-big,yes,yes,small,<=5,0,0,0
B,X,O,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
F,A,I,unchanged,no-growth,more-activity,no,no,small,<=5,0,0,0
E,H,O,unchanged,no-growth,one,no,no,small,<=5,0,0,0
H,S,X,reduced,no-growth,nothing-as-big,no,no,small,<=5,0,0,0
H,R,X,reduced,no-growth,nothing-as-big,yes,no,small,<=5,0,0,0
C,S,I,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
F,A,I,reduced,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
E,H,O,unchanged,no-growth,nothing-as-big,no,no,small,<=5,1,0,0
H,S,X,reduced,growth,nothing-as-big,no,no,small,<=5,0,0,0
H,R,X,reduced,growth,nothing-as-big,yes,no,small,<=5,0,0,0
